reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,,,
59,65,58,0,0,0,18,33.5295044,34.3282539,34.3282539,34.5447341,l,9.2345373,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
40,85,75,0,1,1,16,43.5807744,44.5817764,44.5817764,44.5817764,l,3.5939583,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
79,567,88,0,2,2,20,48.1996758,49.1832995,49.1832995,49.1999725,l,3.2130535,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
6,167,89,0,3,3,86,52.4174756,53.4014728,53.4014728,53.4182543,l,2.367911,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
40,55,62,0,4,4,3,63.0055265,64.0062272,64.0062272,64.0062272,l,2.5852972,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
97,150,66,0,5,5,38,67.3901044,68.3740286,68.3740286,68.3906836,l,1.649979,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
5,117,97,0,6,6,69,72.1586007,73.1593004,73.1593004,73.1593004,l,1.8740908,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
16,129,14,0,7,7,35,75.5600983,76.5434782,76.5434782,76.5604694,l,1.6027316,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
35,113,1,0,8,8,67,79.1610796,80.1455459,80.1455459,80.1617017,l,2.6219188,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
87,90,54,0,9,9,25,81.8120985,82.8128412,82.8128412,82.8128412,l,2.36072,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
14,176,81,0,10,10,46,84.5962691,85.5974471,85.5974471,85.5974471,l,2.1002058,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
56,100,23,0,11,11,7,88.7481696,89.7483711,89.7483711,89.7483711,l,1.624045,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
90,149,94,0,12,12,44,91.5991036,92.5831217,92.5831217,92.5998723,l,2.1840549,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
32,166,2,0,13,13,54,94.300369,95.2843595,95.2843595,95.301071,l,2.5049057,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
81,171,74,0,14,14,58,97.1846771,98.1685793,98.1685793,98.1855516,l,5.3907078,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
25,102,29,0,15,15,56,100.0193645,101.003225,101.003225,101.0198774,l,2.4685476,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
69,139,92,0,16,16,28,103.5372782,104.5209399,104.5209399,104.5375644,l,2.3225606,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
38,147,99,0,17,17,55,107.2384702,108.2223129,108.2223129,108.2389846,l,3.7896801,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
31,100,11,0,18,18,91,111.1400639,112.1238158,112.1238158,112.1405227,l,2.0937057,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
13,123,90,0,19,19,94,113.7576871,114.7586921,114.7586921,114.7586921,l,3.9783214,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
73,127,61,0,20,20,27,116.9088697,117.8927877,117.8927877,117.9092618,l,2.3069355,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
78,116,6,0,21,21,75,119.5433089,120.5271172,120.5271172,120.5437073,l,2.1893813,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
54,100,51,0,22,22,98,123.1776595,124.1781867,124.1781867,124.1781867,l,2.4744779,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
50,108,38,0,23,23,74,126.6625836,127.6632239,127.6632239,127.6632239,l,2.0701117,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
22,113,57,0,24,24,92,129.6635613,130.6646347,130.6646347,130.6646347,l,4.2537488,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
77,117,21,0,25,25,53,132.4812989,133.4826373,133.4826373,133.4826373,l,1.7814987,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
3,56,98,0,26,26,10,135.2158887,136.2169222,136.2169222,136.2169222,l,1.9434756,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
43,89,18,0,27,27,26,138.6004748,139.6016534,139.6016534,139.6016534,l,2.8485343,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
44,144,35,0,28,28,99,145.9364396,146.9376875,146.9376875,146.9376875,l,2.2678188,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
78,80,162,0,29,29,6,149.1046516,150.1056928,150.1056928,150.1056928,l,5.9786876,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
68,176,70,0,30,30,52,151.7889177,152.7734276,152.7734276,152.7899538,l,1.5163148,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
61,122,46,0,31,31,76,156.5407578,157.5419134,157.5419134,157.5419134,l,1.2660716,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
52,83,49,0,32,32,9,159.9585386,160.9429638,160.9429638,160.9593491,l,2.6401554,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
23,104,15,0,33,33,36,163.0762818,164.0602033,164.0602033,164.0769375,l,3.8179979,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
94,167,9,0,34,34,90,166.1774149,167.1778573,167.1778573,167.1778573,l,2.3920944,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
55,131,73,0,35,35,77,168.8283276,169.8298171,169.8298171,169.8298171,l,1.6056971,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
48,133,8,0,36,36,31,171.0962404,172.0802404,172.0802404,172.0969242,t,9.5714761,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
1,170,100,0,37,37,97,174.3302658,175.3148224,175.3148224,175.331435,t,3.3604122,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
100,177,62,0,38,38,93,177.5151958,178.5167946,178.5167946,178.5167946,t,3.7531004,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,GEOMEAN ,3.92031777,
91,176,10,0,39,39,85,180.8996743,181.8837931,181.8837931,181.9009571,t,1.7528546,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
17,110,60,0,40,40,78,184.4177592,185.4029367,185.4029367,185.4198581,t,3.1181063,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
58,154,77,0,41,41,45,188.2192579,189.2198064,189.2198064,189.2198064,t,1.833843,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
67,169,56,0,42,42,30,194.6383602,195.6229523,195.6229523,195.6395316,t,1.6938034,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
72,89,80,0,43,43,21,201.0075011,202.0082205,202.0082205,202.0082205,t,1.8303828,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
93,141,19,0,44,44,73,204.9425151,205.9432089,205.9432089,205.9432089,t,2.5099261,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
47,90,47,0,45,45,19,208.9941675,209.9952388,209.9952388,209.9952388,t,2.6869181,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
70,89,50,0,46,46,17,212.495147,213.4795037,213.4795037,213.4963352,t,2.8919194,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
9,133,69,0,47,47,41,216.4466982,217.4480205,217.4480205,217.4480205,t,2.122418,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
74,143,76,0,48,48,81,219.7982516,220.7825821,220.7825821,220.7993312,t,1.6205554,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
21,24,95,0,49,49,13,226.6478406,227.6510471,227.6510471,227.6510471,t,2.468532,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
15,35,13,0,50,50,1,231.2522484,232.2368069,232.2368069,232.253551,t,1.9748874,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
95,153,64,0,51,51,66,236.0540231,237.0555415,237.0555415,237.0555415,t,1.7942797,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
27,166,72,0,52,52,40,245.7911094,246.7923666,246.7923666,246.7923666,t,1.712929,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
12,146,37,0,53,53,68,248.9090578,249.8932865,249.8932865,249.9104119,t,6.3160436,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
80,90,22,0,54,54,24,253.1272841,254.1285395,254.1285395,254.1285395,t,2.1376224,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
99,141,91,0,55,55,64,256.5952507,257.580193,257.580193,257.596569,t,1.6528371,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
29,105,30,0,56,56,63,259.8631982,260.8476539,260.8476539,260.8647398,t,3.7445791,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
10,111,96,0,57,57,51,263.9980867,264.9993869,264.9993869,264.9993869,t,2.3857084,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
28,161,59,0,58,58,79,269.0001184,269.9845861,269.9845861,270.0013442,t,2.1058922,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
11,30,7,0,59,59,0,272.6683265,273.6689801,273.6689801,273.6689801,t,1.234888,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
27,50,21,0,60,60,2,276.0026885,276.9871726,276.9871726,277.0035436,t,2.2261707,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
34,105,16,0,61,61,72,278.8373483,279.8216063,279.8216063,279.8386647,t,2.3615617,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
84,158,63,0,62,62,65,282.0381991,283.0394925,283.0394925,283.0394925,t,2.7934369,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
51,122,40,0,63,63,43,285.7231663,286.7244054,286.7244054,286.7244054,t,5.3532798,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
92,158,39,0,64,64,32,289.2250697,290.2089084,290.2089084,290.2260852,t,2.9150557,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
36,129,86,0,65,65,60,292.9759403,293.97726,293.97726,293.97726,t,3.0303671,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
86,153,12,0,66,66,83,297.0442422,298.0280986,298.0280986,298.0461963,t,2.9438905,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
65,172,43,0,67,67,59,300.1291598,301.1130649,301.1130649,301.1295386,t,5.8260795,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
98,121,17,0,68,68,61,305.3972198,306.3812928,306.3812928,306.3978228,t,3.5748494,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
4,155,48,0,69,69,50,308.1815902,309.1829193,309.1829193,309.1829193,t,8.7199154,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
11,130,84,0,70,70,49,311.1494682,312.150146,312.150146,312.150146,t,3.2178089,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
2,8,28,0,71,71,12,314.1671776,315.1515151,315.1515151,315.168196,t,2.439934,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
75,156,78,0,72,72,14,318.7856432,319.769807,319.769807,319.7872104,t,2.2547649,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
39,144,25,0,73,73,29,324.9880097,325.9892134,325.9892134,325.9892134,t,3.1338055,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
33,133,93,0,74,74,62,328.8561056,329.8573482,329.8573482,329.8573482,t,2.6525063,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
63,89,13,0,75,75,23,332.5075343,333.4920823,333.4920823,333.5084273,t,1.8284669,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
20,171,67,0,76,76,39,335.7753921,336.7769752,336.7769752,336.7769752,t,2.6650262,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
60,160,20,0,77,77,48,338.6600066,339.6439312,339.6439312,339.6611109,t,2.7434288,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
57,122,55,0,78,78,33,345.6458744,346.63019,346.63019,346.6472307,t,3.049429,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
82,148,83,0,79,79,88,353.9326947,354.934113,354.934113,354.934113,t,1.9932077,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
49,60,89,0,80,80,4,357.8506144,358.8348913,358.8348913,358.851956,t,3.6096538,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
7,130,4,0,81,81,80,362.8356999,363.8205034,363.8205034,363.8373689,t,5.2022122,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
19,154,3,0,82,82,95,365.3532225,366.3378184,366.3378184,366.3547252,t,2.6215052,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
45,164,32,0,83,83,34,367.6210481,368.6224927,368.6224927,368.6224927,t,1.8614655,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
66,146,33,0,84,84,84,370.0051054,371.0063102,371.0063102,371.0063102,t,7.2820065,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
67,340,150,0,85,85,8,374.3234267,375.3080686,375.3080686,375.3246829,t,2.8909958,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
15,140,53,0,86,86,70,378.4084665,379.3921074,379.3921074,379.4097046,t,3.9721433,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
18,103,82,0,87,87,71,382.0597249,383.0441607,383.0441607,383.0605716,t,1.3637117,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
53,139,44,0,88,88,42,384.6441678,385.6291577,385.6291577,385.645465,t,3.2945432,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
37,113,42,0,89,89,96,387.7452588,388.7464444,388.7464444,388.7464444,t,3.0776215,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
76,136,31,0,90,90,37,392.0801184,393.0642901,393.0642901,393.0814996,t,1.5688385,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
62,170,79,0,91,91,87,396.8987517,397.9001354,397.9001354,397.9001354,t,2.0863684,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
46,68,85,0,92,92,22,399.5670661,400.5677711,400.5677711,400.5677711,t,3.3093855,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
26,172,71,0,93,93,47,403.0011394,404.0023383,404.0023383,404.0023383,t,1.6439452,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
96,108,87,0,94,94,11,406.4189821,407.4032726,407.4032726,407.4197161,t,2.4173953,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
71,114,34,0,95,95,57,408.5365273,409.5370306,409.5370306,409.5370306,t,1.1049072,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
64,137,27,0,96,96,82,410.7040144,411.6877059,411.6877059,411.7047186,t,1.1398608,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
88,90,52,0,97,97,15,413.3215954,414.3219994,414.3219994,414.3219994,t,2.402696,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
67,75,119,0,98,98,5,416.756383,417.7574947,417.7574947,417.7574947,t,1.3336568,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
42,155,26,0,99,99,89,419.1071585,420.1078961,420.1078961,420.1078961,t,1.2037051,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
